Listone di esempio — giocatori inventati, serve solo a far vedere l app in funzione
Id;R;Rm;Nome;Squadra;Qt.A;FVM
900237;P;Por;Tindicci;Lazio;6;33
900238;D;Dc;Marserda;Lazio;20;212
900239;D;Dc;Bellaldi;Lazio;17;162
900240;D;B;Rinramez;Lazio;15;130
900241;D;B;Polponte;Lazio;12;86
900242;D;Ds;Griduanti;Lazio;9;59
900243;D;Dc;Ganbessi;Lazio;7;41
900244;D;Dd;Brunillo;Lazio;6;30
900245;D;Dc;Monbente;Lazio;6;30
900246;D;Ds;Fioguanti;Lazio;4;19
900247;C;M;Narbaldi;Lazio;24;294
900248;C;T;Fiobaanti;Lazio;18;178
900249;C;C;Tindurdi;Lazio;14;115
900250;C;C;Polcollo;Lazio;11;78
900251;C;E;Dalmesco;Lazio;11;76
900252;C;T;Sevserri;Lazio;9;55
900253;C;E;Ostceler;Lazio;6;34
900254;C;C;Zannirdi;Lazio;5;28
900255;C;C;Marbetti;Lazio;6;29
900256;A;Pc;Valfavic;Lazio;27;367
900257;A;W;Dallasco;Lazio;21;229
900258;A;W;Pralallo;Lazio;13;98
900259;A;Pc;Fioditto;Lazio;8;48
900260;A;Pc;Fiodumez;Lazio;5;23
900261;P;Por;Daldirdi;Lecce;16;146
900262;P;Por;Dornitti;Lecce;9;53
900263;P;Por;Bartiuzzi;Lecce;5;26
900264;D;Dc;Zanzauzzi;Lecce;20;210
900265;D;Dc;Belfocci;Lecce;16;145
900266;D;Dc;Tinmeson;Lecce;12;87
900267;D;Ds;Tinduvic;Lecce;10;64
900268;D;B;Corbemez;Lecce;10;65
900269;D;B;Fiozassi;Lecce;7;36
900270;D;Ds;Zanbarri;Lecce;6;29
900271;D;Dc;Pramemez;Lecce;6;33
900272;D;Dc;Polbesco;Lecce;3;10
900273;C;W;Calponte;Lecce;23;268
900274;C;T;Marbatto;Lecce;19;194
900275;C;E;Saldutto;Lecce;15;130
900276;C;W;Torgumez;Lecce;12;86
900277;C;C;Cenlaldi;Lecce;10;65
900278;C;C;Fertillo;Lecce;7;36
900279;C;W;Calfouzzi;Lecce;6;34
900280;C;C;Rusnimez;Lecce;6;32
900281;C;C;Corfatto;Lecce;4;16
900282;A;A;Ganvocci;Lecce;26;343
900283;A;Pc;Sevponzo;Lecce;18;178
900284;A;A;Nevpoldi;Lecce;14;117
900285;A;A;Dalvollo;Lecce;8;47
900286;A;Pc;Bruzatti;Lecce;7;37
900287;P;Por;Nardillo;Milan;18;176
900288;P;Por;Marlollo;Milan;11;75
900289;P;Por;Beltitti;Milan;5;27
900290;D;Ds;Valfordi;Milan;20;216
900291;D;Dc;Salbatti;Milan;15;127
900292;D;Dc;Cengison;Milan;13;101
900293;D;B;Salravic;Milan;12;85
900294;D;B;Fioguni;Milan;8;51
900295;D;Dd;Fergirda;Milan;7;42
900296;D;Dc;Corguson;Milan;7;38
900297;D;Dd;Zanvoson;Milan;5;22
900298;D;B;Valbetto;Milan;4;16
900299;C;T;Nevcerri;Milan;23;274
900300;C;E;Nevvovic;Milan;18;172
900301;C;W;Valdinzo;Milan;15;130
900302;C;M;Barcongo;Milan;11;77
900303;C;M;Bartitti;Milan;10;65
900304;C;M;Corzante;Milan;9;60
900305;C;M;Prafatti;Milan;7;40
900306;C;E;Corfoni;Milan;6;30
900307;C;C;Gantirda;Milan;5;22
900308;A;W;Nevfani;Milan;28;388
900309;A;W;Lussello;Milan;21;234
900310;A;Pc;Sevmenzo;Milan;12;90
900311;A;A;Pollonzo;Milan;8;49
900312;A;W;Venlaler;Milan;7;35
900313;P;Por;Rinpouzzi;Monza;17;160
900314;P;Por;Torranzo;Monza;9;56
900315;P;Por;Tortison;Monza;6;35
900316;D;Ds;Cengullo;Monza;18;174
900317;D;Dc;Pradissi;Monza;18;175
900318;D;Ds;Zandisco;Monza;13;100
900319;D;Dd;Bruceuzzi;Monza;11;77
900320;D;B;Rincemez;Monza;9;55
900321;D;Dd;Tornitto;Monza;8;49
900322;D;Ds;Gridildi;Monza;7;39
900323;D;B;Fiocetto;Monza;6;34
900324;D;B;Prabente;Monza;3;12
900325;C;W;Marloson;Monza;22;249
900326;C;M;Pralouzzi;Monza;20;215
900327;C;E;Pradussi;Monza;15;125
900328;C;W;Gribenzo;Monza;12;92
900329;C;W;Moncotti;Monza;9;57
900330;C;T;Praberda;Monza;7;40
900331;C;W;Nargitto;Monza;5;27
900332;C;C;Zolcoler;Monza;6;30
900333;C;C;Nevcocci;Monza;4;22
900334;A;A;Grizani;Monza;29;411
900335;A;A;Calgianti;Monza;20;209
900336;A;Pc;Salgillo;Monza;12;88
900337;A;Pc;Nevpollo;Monza;10;66
900338;A;Pc;Brugildi;Monza;5;25
900339;P;Por;Gridisco;Napoli;16;141
900340;P;Por;Zangutti;Napoli;9;58
900341;P;Por;Pratillo;Napoli;6;29
900342;D;Dc;Valcocci;Napoli;19;197
900343;D;B;Torlollo;Napoli;17;156
900344;D;Dd;Fiotianti;Napoli;13;97
900345;D;Ds;Dorducci;Napoli;10;67
900346;D;B;Sevfanzo;Napoli;9;54
900347;D;Dc;Belduvic;Napoli;8;44
900348;D;Dc;Fernirdi;Napoli;6;32
900349;D;Ds;Vengiler;Napoli;6;34
900350;D;B;Rincorda;Napoli;4;22
900351;C;C;Sevvocci;Napoli;22;248
900352;C;W;Ruscente;Napoli;18;179
900353;C;C;Monlaldi;Napoli;15;126
900354;C;T;Polfaler;Napoli;12;89
900355;C;E;Narlaler;Napoli;11;75
900356;C;E;Barvonzo;Napoli;8;45
900357;C;E;Ostmessi;Napoli;5;22
900358;C;E;Salbardi;Napoli;5;23
900359;C;M;Sevguni;Napoli;6;35
900360;A;Pc;Corpovic;Napoli;28;387
900361;A;W;Monfamez;Napoli;21;232
900362;A;W;Gandullo;Napoli;15;132
900363;A;Pc;Sevpollo;Napoli;9;57
900364;A;W;Fercevic;Napoli;7;39
900365;P;Por;Griduuzzi;Parma;16;141
900366;P;Por;Luslaanti;Parma;10;65
900367;P;Por;Brugimez;Parma;6;28
900368;D;Dd;Rinserda;Parma;20;215
900369;D;Dd;Brupotti;Parma;15;129
900370;D;Dc;Nevgunzo;Parma;14;115
900371;D;B;Barcesco;Parma;12;90
900372;D;Dd;Brumeni;Parma;8;48
900373;D;Dc;Fiodinte;Parma;6;34
900374;D;Ds;Monvoni;Parma;7;38
900375;D;Ds;Valporda;Parma;4;18
900376;D;B;Barcorda;Parma;4;20
900377;C;M;Polduanti;Parma;21;232
900378;C;C;Salpouzzi;Parma;19;192
900379;C;W;Ostcongo;Parma;14;117
900380;C;T;Poltisco;Parma;13;102
900381;C;E;Lusrauzzi;Parma;10;63
900382;C;C;Torlatti;Parma;7;37
900383;C;M;Fertinzo;Parma;7;39
900384;C;E;Rindusco;Parma;5;27
900385;C;T;Cengutto;Parma;6;28
900386;A;Pc;Venrante;Parma;27;365
900387;A;Pc;Valtini;Parma;20;209
900388;A;A;Ostseuzzi;Parma;14;114
900389;A;W;Pradullo;Parma;8;50
900390;A;W;Valcente;Parma;6;30
900391;P;Por;Tordiuzzi;Roma;18;174
900392;P;Por;Ganbello;Roma;9;60
900393;P;Por;Tinzango;Roma;6;33
900394;D;B;Margiuzzi;Roma;19;195
900395;D;Dc;Fiofosco;Roma;16;144
900396;D;Ds;Valrasco;Roma;15;130
900397;D;Ds;Torsecci;Roma;13;98
900398;D;Dc;Zanfongo;Roma;10;69
900399;D;Dc;Zandirdi;Roma;8;45
900400;D;Dd;Rinlani;Roma;5;27
900401;D;Dc;Calvongo;Roma;6;28
900402;D;Dc;Rinpotti;Roma;5;26
900403;C;W;Tinsevic;Roma;23;269
900404;C;C;Rusdussi;Roma;20;214
900405;C;E;Monducci;Roma;16;141
900406;C;E;Fioducci;Roma;13;97
900407;C;M;Narcossi;Roma;10;66
900408;C;W;Salmente;Roma;7;40
900409;C;M;Dalvotti;Roma;5;25
900410;C;W;Venporri;Roma;5;27
900411;C;C;Valrason;Roma;5;25
900412;A;W;Fioceuzzi;Roma;28;393
900413;A;Pc;Salpoanti;Roma;19;192
900414;A;A;Pracerri;Roma;14;115
900415;A;Pc;Ferguni;Roma;8;44
900416;A;A;Dordissi;Roma;6;33
900417;P;Por;Dornildi;Sassuolo;16;140
900418;P;Por;Dalniler;Sassuolo;10;65
900419;P;Por;Ferdimez;Sassuolo;5;27
900420;D;B;Fiolongo;Sassuolo;20;208
900421;D;Ds;Salmeanti;Sassuolo;18;173
900422;D;Ds;Torzarda;Sassuolo;14;117
900423;D;Ds;Valbecci;Sassuolo;11;73
900424;D;Dd;Calraanti;Sassuolo;9;58
900425;D;Ds;Salvordi;Sassuolo;7;35
900426;D;Dc;Brufomez;Sassuolo;6;29
900427;D;Dc;Valpossi;Sassuolo;5;26
900428;D;Dd;Dormengo;Sassuolo;5;22
900429;C;C;Torvoler;Sassuolo;22;255
900430;C;W;Ferbassi;Sassuolo;18;177
900431;C;E;Zanfoson;Sassuolo;16;141
900432;C;W;Pravossi;Sassuolo;13;101
900433;C;M;Salvouzzi;Sassuolo;9;58
900434;C;M;Dalguler;Sassuolo;7;36
900435;C;C;Gricerdi;Sassuolo;8;45
900436;C;M;Calbevic;Sassuolo;6;35
900437;C;W;Brutildi;Sassuolo;4;17
900438;A;A;Dalvongo;Sassuolo;28;385
900439;A;Pc;Ostcente;Sassuolo;18;173
900440;A;A;Fermerri;Sassuolo;13;98
900441;A;A;Corratto;Sassuolo;8;48
900442;A;Pc;Barsemez;Sassuolo;7;41
900443;P;Por;Monforda;Torino;18;178
900444;P;Por;Grinimez;Torino;9;54
900445;P;Por;Polgildi;Torino;6;33
900446;D;Dc;Barguvic;Torino;20;209
900447;D;Dc;Venbacci;Torino;16;147
900448;D;Dd;Pragison;Torino;15;132
900449;D;Dc;Nevsesco;Torino;12;92
900450;D;B;Narcetti;Torino;9;56
900451;D;Ds;Bardinte;Torino;8;46
900452;D;B;Ganginzo;Torino;7;41
900453;D;Dc;Cencoson;Torino;6;33
900454;D;Ds;Marseson;Torino;6;31
900455;C;E;Barnirda;Torino;21;228
900456;C;C;Lusramez;Torino;19;194
900457;C;C;Rinbanzo;Torino;17;163
900458;C;C;Zanbasco;Torino;12;91
900459;C;M;Cenvorri;Torino;10;66
900460;C;C;Ringirdi;Torino;10;65
900461;C;M;Nevfosco;Torino;8;44
900462;C;M;Gridissi;Torino;5;26
900463;C;W;Bargillo;Torino;4;19
900464;A;A;Cortillo;Torino;27;366
900465;A;W;Corvotti;Torino;21;230
900466;A;A;Ferdungo;Torino;12;92
900467;A;W;Ruscotti;Torino;9;56
900468;A;A;Corbacci;Torino;7;35
900469;P;Por;Mongunte;Udinese;17;157
900470;P;Por;Bargutti;Udinese;10;68
900471;P;Por;Grizavic;Udinese;5;26
900472;D;Dc;Barconzo;Udinese;19;193
900473;D;B;Polfongo;Udinese;18;174
900474;D;Dd;Ostlorda;Udinese;12;86
900475;D;B;Rinsente;Udinese;11;75
900476;D;Ds;Torrason;Udinese;8;50
900477;D;B;Dorfallo;Udinese;8;50
900478;D;Dc;Marmerdi;Udinese;6;33
900479;D;Ds;Beldicci;Udinese;6;28
900480;D;Ds;Barrango;Udinese;6;30
900481;C;T;Praguldi;Udinese;21;228
900482;C;T;Barsevic;Udinese;18;178
900483;C;T;Mondunte;Udinese;15;127
900484;C;M;Cenninzo;Udinese;14;117
900485;C;E;Gangurdi;Udinese;9;52
900486;C;E;Monrante;Udinese;9;55
900487;C;T;Marbeler;Udinese;6;30
900488;C;M;Zolfauzzi;Udinese;6;34
900489;C;T;Corponi;Udinese;6;30
900490;A;W;Calfamez;Udinese;26;342
900491;A;W;Zanbatto;Udinese;20;212
900492;A;A;Ostsesco;Udinese;14;112
900493;A;W;Monvordi;Udinese;10;68
900494;A;A;Belfarri;Udinese;7;38
900495;P;Por;Monnison;Venezia;16;143
900496;P;Por;Torfacci;Venezia;11;77
900497;P;Por;Griguuzzi;Venezia;6;29
900498;D;Dd;Zanporri;Venezia;21;233
900499;D;B;Rinbecci;Venezia;16;144
900500;D;Dc;Narbani;Venezia;13;103
900501;D;B;Valginzo;Venezia;11;80
900502;D;Ds;Sevgutti;Venezia;10;63
900503;D;Ds;Bargurri;Venezia;8;46
900504;D;Dc;Salbaldi;Venezia;7;35
900505;D;Dd;Lusnianti;Venezia;6;29
900506;D;Ds;Grirani;Venezia;4;22
900507;C;M;Lusfonzo;Venezia;23;275
900508;C;W;Centirda;Venezia;19;190
900509;C;T;Zoldinte;Venezia;14;112
900510;C;T;Valdinte;Venezia;13;97
900511;C;T;Nevnitti;Venezia;10;65
900512;C;W;Zollatto;Venezia;7;36
900513;C;C;Fiofamez;Venezia;7;36
900514;C;W;Prabello;Venezia;5;24
900515;C;E;Belvocci;Venezia;5;23
900516;A;A;Barlason;Venezia;27;364
900517;A;A;Bruvoanti;Venezia;20;211
900518;A;W;Fiolanzo;Venezia;14;112
900519;A;Pc;Torpocci;Venezia;10;63
900520;A;A;Callardi;Venezia;7;37
