giornata;casa;ospite;data
31;Genoa;Sassuolo;2027-03-21
31;Torino;Frosinone;2027-03-21
31;Fiorentina;Udinese;2027-03-21
31;Venezia;Como;2027-03-21
31;Cagliari;Bologna;2027-03-21
32;Monza;Atalanta;2027-03-28
32;Napoli;Milan;2027-03-28
32;Lecce;Parma;2027-03-28
32;Roma;Lazio;2027-03-28
32;Juventus;Sassuolo;2027-03-28
32;Torino;Inter;2027-03-28
32;Genoa;Udinese;2027-03-28
32;Venezia;Frosinone;2027-03-28
32;Fiorentina;Bologna;2027-03-28
32;Cagliari;Como;2027-03-28
33;Atalanta;Napoli;2027-04-04
33;Monza;Parma;2027-04-04
33;Roma;Milan;2027-04-04
33;Lecce;Sassuolo;2027-04-04
33;Torino;Lazio;2027-04-04
33;Juventus;Udinese;2027-04-04
33;Venezia;Inter;2027-04-04
33;Genoa;Bologna;2027-04-04
33;Cagliari;Frosinone;2027-04-04
33;Fiorentina;Como;2027-04-04
34;Parma;Atalanta;2027-04-11
34;Roma;Napoli;2027-04-11
34;Monza;Sassuolo;2027-04-11
34;Torino;Milan;2027-04-11
34;Lecce;Udinese;2027-04-11
34;Venezia;Lazio;2027-04-11
34;Juventus;Bologna;2027-04-11
34;Cagliari;Inter;2027-04-11
34;Genoa;Como;2027-04-11
34;Fiorentina;Frosinone;2027-04-11
35;Atalanta;Roma;2027-04-18
35;Parma;Sassuolo;2027-04-18
35;Torino;Napoli;2027-04-18
35;Monza;Udinese;2027-04-18
35;Venezia;Milan;2027-04-18
35;Lecce;Bologna;2027-04-18
35;Cagliari;Lazio;2027-04-18
35;Juventus;Como;2027-04-18
35;Fiorentina;Inter;2027-04-18
35;Genoa;Frosinone;2027-04-18
36;Sassuolo;Atalanta;2027-04-25
36;Torino;Roma;2027-04-25
36;Parma;Udinese;2027-04-25
36;Venezia;Napoli;2027-04-25
36;Monza;Bologna;2027-04-25
36;Cagliari;Milan;2027-04-25
36;Lecce;Como;2027-04-25
36;Fiorentina;Lazio;2027-04-25
36;Juventus;Frosinone;2027-04-25
36;Genoa;Inter;2027-04-25
37;Atalanta;Torino;2027-05-02
37;Sassuolo;Udinese;2027-05-02
37;Venezia;Roma;2027-05-02
37;Parma;Bologna;2027-05-02
37;Cagliari;Napoli;2027-05-02
37;Monza;Como;2027-05-02
37;Fiorentina;Milan;2027-05-02
37;Lecce;Frosinone;2027-05-02
37;Genoa;Lazio;2027-05-02
37;Juventus;Inter;2027-05-02
38;Udinese;Atalanta;2027-05-09
38;Venezia;Torino;2027-05-09
38;Sassuolo;Bologna;2027-05-09
38;Cagliari;Roma;2027-05-09
38;Parma;Como;2027-05-09
38;Fiorentina;Napoli;2027-05-09
38;Monza;Frosinone;2027-05-09
38;Genoa;Milan;2027-05-09
38;Lecce;Inter;2027-05-09
38;Juventus;Lazio;2027-05-09
